,Title,Published_date,Views,Likes,Comments,Month
0,Moving On,2024-04-22,10069,444,91,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,3124,76,25,Nov
2,A Data Dream Come True,2023-11-17,2392,95,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6376,418,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17578,586,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,108652,2617,286,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6536,250,42,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4487,133,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4852,200,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4212,144,31,Jul
10,Exciting Announcement!,2023-06-23,6701,297,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,4014,123,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,55749,1736,61,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35728,1484,77,May
14,This AI question will determine our future,2023-04-06,4335,262,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71519,835,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,9027,511,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7975,428,3,Mar
18,you're job searching wrong. #shorts,2023-03-23,4560,269,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10542,632,13,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3706,171,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3271,255,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,3030,57,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,3098,142,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20931,775,49,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8780,283,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2845,172,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3278,177,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4649,284,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7407,411,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3854,220,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7999,379,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3717,245,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,17566,915,18,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5086,199,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4469,350,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10563,437,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5345,301,10,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9755,526,51,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,11003,850,16,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6475,475,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,8146,537,8,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7258,429,3,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,129145,4196,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,5010,208,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20944,860,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10624,348,49,Oct
47,Is Data Science A Good Career?,2022-09-29,64323,1984,140,Sep
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5680,362,22,Sep
49,When a New Data Scientist Joins The Team,2022-08-29,16820,753,134,Aug
50,State of Data Science - Web Data,2022-08-05,10502,351,34,Aug
51,Data Science Town Hall - State of Data Science,2022-08-04,10028,367,37,Aug
52,The Programming Roadmap For Data Science,2022-07-29,28557,1327,63,Jul
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,101487,3573,95,Jun
54,Can AI Fix my Baseball Swing?,2022-06-10,8001,346,68,Jun
55,Every Data Scientist... (funny!),2022-05-24,17823,863,146,May
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16031,424,64,May
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,74385,1799,85,Apr
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22273,911,110,Mar
59,Data Scientists VS NFT Scam,2022-03-03,5038,188,41,Mar
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11445,517,144,Feb
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,101480,3473,187,Feb
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7599,325,58,Jan
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2341,118,87,Jan
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,62349,1415,148,Jan
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,9040,428,82,Jan
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8681,256,33,Jan
67,The Only Data Science Explanation You Need,2022-01-10,71681,2329,170,Jan
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14605,645,144,Jan
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,345987,15000,531,Dec
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,17237,530,68,Dec
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8145,574,25,Dec
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25187,1184,143,Dec
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29830,1100,137,Nov
74,Is Data Science Dying?,2021-11-19,126499,3900,360,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8633,403,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3657,202,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14486,304,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7312,285,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6988,302,50,Oct
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2222,122,5,Oct
